venda_id,produto_key,descricao,quantidade,unidade,preco_unitario,desconto,total
V000020,P021,Mangueira 1/2 50m,27,RL,65.82,0.0,1777.14
V000020,P025,Fio Eletrico 2.5mm 100m,17,RL,240.31,0.0,4085.27
V000020,P008,Bloco de Concreto,86,UN,3.77,0.0,324.22
V000021,P012,Telha Ceramica,16,UN,3.83,4.9,56.38
V000021,P022,Tubo PVC 100mm 6m,39,BR,41.31,0.0,1611.09
V000021,P029,Argamassa AC-II 20kg,22,SC,25.56,56.23,506.09
V000021,P021,Mangueira 1/2 50m,85,RL,63.72,541.62,4874.58
V000021,P006,Tijolo Ceramico 9cm,99,UN,1.22,3.62,117.16
V000022,P012,Telha Ceramica,6,UN,3.82,0.0,22.92
V000022,P024,Joelho PVC 100mm,16,UN,6.88,0.0,110.08
V000022,P007,Tijolo Ceramico 6cm,5,UN,1.0,0.1,4.9
V000023,P017,Massa Corrida 25kg,14,BD,37.32,0.0,522.48
V000023,P020,Broca de Concreto 10mm,9,UN,13.78,0.0,124.02
V000023,P007,Tijolo Ceramico 6cm,17,UN,0.98,0.0,16.66
V000023,P024,Joelho PVC 100mm,2,UN,7.12,0.0,14.24
V000024,P001,Cimento CP-II 50kg,43,SC,35.35,76.0,1444.05
V000024,P023,Tubo PVC 50mm 6m,44,BR,27.57,0.0,1213.08
V000024,P006,Tijolo Ceramico 9cm,13,UN,1.19,1.55,13.92
V000024,P016,Rejunte 5kg,18,PCT,13.0,7.02,226.98
V000024,P012,Telha Ceramica,75,UN,3.85,28.88,259.87
V000024,P017,Massa Corrida 25kg,31,BD,38.42,95.28,1095.74
V000024,P026,Disjuntor 20A,83,UN,27.57,0.0,2288.31
V000024,P027,Tomada 2P+T,75,UN,13.86,31.18,1008.32
V000025,P011,Ferro 12mm 12m,83,BR,74.04,184.36,5960.96
V000025,P008,Bloco de Concreto,76,UN,3.87,0.0,294.12
V000025,P014,Tinta Latex 18L,18,GL,90.3,0.0,1625.4
V000025,P030,Gesso 20kg,49,SC,17.65,86.48,778.37
V000025,P024,Joelho PVC 100mm,35,UN,7.07,19.8,227.65
V000025,P009,Ferro 10mm 12m,41,BR,55.2,0.0,2263.2
V000025,P027,Tomada 2P+T,73,UN,14.15,0.0,1032.95
V000025,P003,Areia Media 20kg,79,SC,11.88,0.0,938.52
V000026,P024,Joelho PVC 100mm,9,UN,7.13,0.0,64.17
V000026,P010,Ferro 8mm 12m,6,BR,37.38,0.0,224.28
V000026,P004,Areia Fina 20kg,9,SC,11.01,0.0,99.09
V000026,P007,Tijolo Ceramico 6cm,13,UN,1.01,0.0,13.13
V000026,P017,Massa Corrida 25kg,20,BD,38.21,15.28,748.92
V000027,P015,Tinta Acrilica 18L,21,GL,99.29,0.0,2085.09
V000027,P026,Disjuntor 20A,52,UN,27.5,143.0,1287.0
V000027,P005,Brita 1 20kg,83,SC,15.13,0.0,1255.79
V000028,P011,Ferro 12mm 12m,2,BR,76.26,0.0,152.52
V000029,P014,Tinta Latex 18L,4,GL,88.47,0.0,353.88
V000029,P029,Argamassa AC-II 20kg,4,SC,25.59,0.0,102.36
V000029,P016,Rejunte 5kg,4,PCT,13.15,0.0,52.6
V000030,P014,Tinta Latex 18L,94,GL,87.56,411.53,7819.11
V000030,P024,Joelho PVC 100mm,60,UN,7.1,0.0,426.0
V000030,P030,Gesso 20kg,29,SC,17.95,15.62,504.93
V000030,P018,Disco de Corte 4.5,47,UN,8.04,0.0,377.88
V000030,P009,Ferro 10mm 12m,71,BR,54.36,115.79,3743.77
V000031,P030,Gesso 20kg,7,SC,17.65,0.0,123.55
V000031,P005,Brita 1 20kg,10,SC,15.27,0.0,152.7
V000032,P021,Mangueira 1/2 50m,45,RL,65.94,0.0,2967.3
V000032,P020,Broca de Concreto 10mm,43,UN,14.25,0.0,612.75
V000032,P010,Ferro 8mm 12m,93,BR,38.03,176.84,3359.95
V000032,P022,Tubo PVC 100mm 6m,40,BR,42.51,0.0,1700.4
V000032,P004,Areia Fina 20kg,86,SC,10.92,0.0,939.12
V000032,P016,Rejunte 5kg,27,PCT,13.08,0.0,353.16
V000032,P003,Areia Media 20kg,47,SC,11.95,56.16,505.49
V000032,P011,Ferro 12mm 12m,14,BR,76.48,0.0,1070.72
V000033,P019,Rebolo Desbaste 4.5,2,UN,10.5,0.0,21.0
V000034,P022,Tubo PVC 100mm 6m,13,BR,41.33,0.0,537.29
V000034,P023,Tubo PVC 50mm 6m,18,BR,27.63,0.0,497.34
V000034,P008,Bloco de Concreto,3,UN,3.77,0.0,11.31
V000035,P027,Tomada 2P+T,5,UN,14.09,0.0,70.45
V000036,P018,Disco de Corte 4.5,89,UN,8.12,0.0,722.68
V000036,P001,Cimento CP-II 50kg,81,SC,35.63,288.6,2597.43
V000036,P027,Tomada 2P+T,56,UN,14.18,0.0,794.08
V000036,P003,Areia Media 20kg,68,SC,12.1,82.28,740.52
V000036,P026,Disjuntor 20A,56,UN,27.57,0.0,1543.92
V000036,P020,Broca de Concreto 10mm,94,UN,13.92,104.68,1203.8
V000037,P002,Cimento CP-V 50kg,10,SC,37.48,0.0,374.8
V000037,P007,Tijolo Ceramico 6cm,11,UN,0.99,0.0,10.89
V000038,P028,Impermeabilizante 18L,19,GL,121.16,0.0,2302.04
V000038,P022,Tubo PVC 100mm 6m,19,BR,42.02,0.0,798.38
V000039,P011,Ferro 12mm 12m,89,BR,76.49,0.0,6807.61
V000039,P012,Telha Ceramica,93,UN,3.79,28.2,324.27
V000039,P010,Ferro 8mm 12m,92,BR,38.18,0.0,3512.56
V000039,P007,Tijolo Ceramico 6cm,15,UN,0.99,0.0,14.85
V000040,P003,Areia Media 20kg,39,SC,11.96,0.0,466.44
V000040,P002,Cimento CP-V 50kg,67,SC,37.9,0.0,2539.3
V000040,P006,Tijolo Ceramico 9cm,12,UN,1.2,0.43,13.97
V000040,P026,Disjuntor 20A,92,UN,27.51,0.0,2530.92
V000040,P009,Ferro 10mm 12m,84,BR,54.69,137.82,4456.14
V000040,P018,Disco de Corte 4.5,74,UN,8.03,47.54,546.68
V000040,P019,Rebolo Desbaste 4.5,46,UN,10.47,0.0,481.62
V000040,P027,Tomada 2P+T,60,UN,13.74,0.0,824.4
V000041,P002,Cimento CP-V 50kg,14,SC,38.68,0.0,541.52
V000041,P001,Cimento CP-II 50kg,11,SC,35.34,0.0,388.74
V000041,P019,Rebolo Desbaste 4.5,13,UN,10.67,0.0,138.71
V000042,P024,Joelho PVC 100mm,10,UN,6.9,0.0,69.0
V000042,P021,Mangueira 1/2 50m,12,RL,64.9,0.0,778.8
V000042,P014,Tinta Latex 18L,13,GL,88.95,0.0,1156.35
V000043,P019,Rebolo Desbaste 4.5,85,UN,10.52,26.83,867.37
V000043,P013,Telha Fibrocimento 2.44m,79,UN,25.04,0.0,1978.16
V000043,P025,Fio Eletrico 2.5mm 100m,93,RL,238.71,0.0,22200.03
V000044,P016,Rejunte 5kg,51,PCT,13.17,53.73,617.94
V000044,P029,Argamassa AC-II 20kg,43,SC,26.07,0.0,1121.01
V000044,P002,Cimento CP-V 50kg,58,SC,37.8,0.0,2192.4
V000044,P021,Mangueira 1/2 50m,93,RL,63.9,0.0,5942.7
V000045,P007,Tijolo Ceramico 6cm,17,UN,1.01,0.0,17.17
V000045,P015,Tinta Acrilica 18L,6,GL,99.26,0.0,595.56
V000045,P020,Broca de Concreto 10mm,7,UN,14.01,0.0,98.07
V000045,P016,Rejunte 5kg,7,PCT,12.92,0.0,90.44
V000046,P014,Tinta Latex 18L,5,GL,88.75,0.0,443.75
V000046,P015,Tinta Acrilica 18L,4,GL,99.14,0.0,396.56
V000046,P023,Tubo PVC 50mm 6m,4,BR,27.83,0.0,111.32
V000047,P030,Gesso 20kg,4,SC,17.91,1.43,70.21
V000047,P020,Broca de Concreto 10mm,3,UN,14.24,0.0,42.72
V000047,P014,Tinta Latex 18L,14,GL,89.07,0.0,1246.98
V000048,P025,Fio Eletrico 2.5mm 100m,3,RL,241.63,0.0,724.89
V000048,P013,Telha Fibrocimento 2.44m,4,UN,25.09,0.0,100.36
V000049,P004,Areia Fina 20kg,5,SC,10.91,0.0,54.55
V000049,P018,Disco de Corte 4.5,1,UN,8.1,0.0,8.1
V000049,P003,Areia Media 20kg,3,SC,12.18,0.0,36.54
V000050,P003,Areia Media 20kg,53,SC,11.99,31.77,603.7
V000050,P013,Telha Fibrocimento 2.44m,55,UN,24.68,108.59,1248.81
V000050,P022,Tubo PVC 100mm 6m,97,BR,41.48,0.0,4023.56
V000050,P024,Joelho PVC 100mm,35,UN,7.1,12.43,236.07
V000050,P027,Tomada 2P+T,36,UN,14.19,25.54,485.3
V000051,P004,Areia Fina 20kg,10,SC,10.9,0.0,109.0
V000051,P011,Ferro 12mm 12m,10,BR,75.34,0.0,753.4
V000051,P012,Telha Ceramica,13,UN,3.79,0.0,49.27
V000051,P020,Broca de Concreto 10mm,15,UN,13.93,0.0,208.95
V000051,P028,Impermeabilizante 18L,14,GL,118.46,0.0,1658.44
V000052,P007,Tijolo Ceramico 6cm,70,UN,0.98,0.0,68.6
V000052,P027,Tomada 2P+T,52,UN,14.03,58.36,671.2
V000052,P009,Ferro 10mm 12m,42,BR,54.17,227.51,2047.63
V000053,P015,Tinta Acrilica 18L,80,GL,99.84,0.0,7987.2
V000053,P028,Impermeabilizante 18L,99,GL,120.44,0.0,11923.56
V000053,P018,Disco de Corte 4.5,68,UN,8.04,0.0,546.72
V000053,P030,Gesso 20kg,82,SC,18.1,0.0,1484.2
V000053,P009,Ferro 10mm 12m,78,BR,54.96,342.95,3943.93
V000054,P010,Ferro 8mm 12m,16,BR,37.29,0.0,596.64
V000054,P026,Disjuntor 20A,4,UN,28.51,0.0,114.04
V000054,P016,Rejunte 5kg,3,PCT,12.94,0.0,38.82
V000054,P012,Telha Ceramica,19,UN,3.75,0.0,71.25
V000055,P020,Broca de Concreto 10mm,21,UN,13.77,28.92,260.25
V000055,P005,Brita 1 20kg,89,SC,14.74,39.36,1272.5
V000055,P012,Telha Ceramica,92,UN,3.74,10.32,333.76
V000056,P005,Brita 1 20kg,17,SC,15.04,0.0,255.68
V000056,P009,Ferro 10mm 12m,19,BR,54.32,0.0,1032.08
V000056,P029,Argamassa AC-II 20kg,7,SC,25.82,0.0,180.74
V000056,P002,Cimento CP-V 50kg,16,SC,38.5,0.0,616.0
V000057,P015,Tinta Acrilica 18L,19,GL,99.53,0.0,1891.07
V000057,P026,Disjuntor 20A,13,UN,27.51,0.0,357.63
V000057,P021,Mangueira 1/2 50m,10,RL,65.61,0.0,656.1
V000057,P002,Cimento CP-V 50kg,11,SC,38.7,8.51,417.19
V000057,P012,Telha Ceramica,5,UN,3.8,0.38,18.62
V000058,P001,Cimento CP-II 50kg,8,SC,34.33,0.0,274.64
V000058,P005,Brita 1 20kg,10,SC,15.01,0.0,150.1
V000058,P010,Ferro 8mm 12m,20,BR,37.48,0.0,749.6
V000058,P008,Bloco de Concreto,3,UN,3.75,0.0,11.25
V000059,P016,Rejunte 5kg,1,PCT,13.06,0.0,13.06
V000059,P018,Disco de Corte 4.5,4,UN,7.92,0.0,31.68
V000060,P026,Disjuntor 20A,2,UN,28.34,0.0,56.68
V000060,P004,Areia Fina 20kg,4,SC,10.96,0.0,43.84
V000060,P024,Joelho PVC 100mm,3,UN,6.96,0.0,20.88
V000061,P004,Areia Fina 20kg,82,SC,10.79,0.0,884.78
V000061,P022,Tubo PVC 100mm 6m,32,BR,42.71,109.34,1257.38
V000061,P011,Ferro 12mm 12m,71,BR,75.89,0.0,5388.19
V000061,P013,Telha Fibrocimento 2.44m,92,UN,25.13,115.6,2196.36
V000061,P024,Joelho PVC 100mm,78,UN,6.99,0.0,545.22
V000062,P003,Areia Media 20kg,2,SC,11.94,0.0,23.88
V000062,P005,Brita 1 20kg,19,SC,15.04,0.0,285.76
V000062,P009,Ferro 10mm 12m,14,BR,54.16,0.0,758.24
V000062,P027,Tomada 2P+T,11,UN,13.9,0.0,152.9
V000063,P015,Tinta Acrilica 18L,23,GL,98.62,0.0,2268.26
V000063,P029,Argamassa AC-II 20kg,49,SC,26.14,102.47,1178.39
V000063,P002,Cimento CP-V 50kg,36,SC,37.68,67.82,1288.66
V000064,P027,Tomada 2P+T,68,UN,13.98,95.06,855.58
V000064,P026,Disjuntor 20A,38,UN,28.46,86.52,994.96
V000064,P030,Gesso 20kg,60,SC,18.21,87.41,1005.19
V000064,P023,Tubo PVC 50mm 6m,51,BR,27.47,0.0,1400.97
V000064,P015,Tinta Acrilica 18L,70,GL,97.85,684.95,6164.55
V000064,P004,Areia Fina 20kg,31,SC,11.05,27.4,315.15
V000065,P018,Disco de Corte 4.5,20,UN,7.91,0.0,158.2
V000065,P010,Ferro 8mm 12m,12,BR,38.45,0.0,461.4
V000065,P013,Telha Fibrocimento 2.44m,11,UN,25.44,0.0,279.84
V000066,P028,Impermeabilizante 18L,15,GL,119.49,0.0,1792.35
V000066,P010,Ferro 8mm 12m,12,BR,37.86,0.0,454.32
V000066,P001,Cimento CP-II 50kg,15,SC,35.23,0.0,528.45
V000066,P008,Bloco de Concreto,17,UN,3.78,3.21,61.05
V000067,P019,Rebolo Desbaste 4.5,77,UN,10.7,0.0,823.9
V000067,P016,Rejunte 5kg,45,PCT,12.78,0.0,575.1
V000067,P023,Tubo PVC 50mm 6m,88,BR,28.15,247.72,2229.48
V000067,P003,Areia Media 20kg,94,SC,11.8,0.0,1109.2
V000067,P005,Brita 1 20kg,91,SC,15.05,0.0,1369.55
V000067,P024,Joelho PVC 100mm,88,UN,7.01,49.35,567.53
V000068,P017,Massa Corrida 25kg,10,BD,38.18,0.0,381.8
V000068,P003,Areia Media 20kg,10,SC,11.77,0.0,117.7
V000069,P014,Tinta Latex 18L,16,GL,89.8,0.0,1436.8
V000069,P015,Tinta Acrilica 18L,10,GL,96.13,0.0,961.3
V000070,P019,Rebolo Desbaste 4.5,5,UN,10.68,0.0,53.4
V000071,P026,Disjuntor 20A,3,UN,27.68,0.0,83.04
V000071,P024,Joelho PVC 100mm,18,UN,7.05,0.0,126.9
V000072,P006,Tijolo Ceramico 9cm,68,UN,1.22,0.0,82.96
V000072,P021,Mangueira 1/2 50m,18,RL,63.98,0.0,1151.64
V000072,P002,Cimento CP-V 50kg,73,SC,38.18,0.0,2787.14
V000072,P029,Argamassa AC-II 20kg,18,SC,25.92,0.0,466.56
V000072,P010,Ferro 8mm 12m,96,BR,37.42,0.0,3592.32
V000072,P027,Tomada 2P+T,97,UN,13.8,0.0,1338.6
V000072,P026,Disjuntor 20A,37,UN,28.1,0.0,1039.7
V000072,P004,Areia Fina 20kg,52,SC,10.84,45.09,518.59
V000073,P021,Mangueira 1/2 50m,11,RL,65.8,0.0,723.8
V000073,P019,Rebolo Desbaste 4.5,17,UN,10.38,0.0,176.46
V000074,P028,Impermeabilizante 18L,73,GL,117.86,258.11,8345.67
V000074,P030,Gesso 20kg,56,SC,17.82,99.79,898.13
V000074,P016,Rejunte 5kg,88,PCT,13.13,0.0,1155.44
V000075,P011,Ferro 12mm 12m,9,BR,75.28,0.0,677.52
V000075,P014,Tinta Latex 18L,6,GL,90.42,0.0,542.52
V000075,P019,Rebolo Desbaste 4.5,15,UN,10.31,0.0,154.65
V000076,P030,Gesso 20kg,24,SC,18.09,43.42,390.74
V000076,P022,Tubo PVC 100mm 6m,56,BR,42.1,70.73,2286.87
V000076,P012,Telha Ceramica,36,UN,3.76,10.83,124.53
V000076,P029,Argamassa AC-II 20kg,24,SC,26.25,0.0,630.0
V000076,P002,Cimento CP-V 50kg,84,SC,38.31,0.0,3218.04
V000077,P012,Telha Ceramica,25,UN,3.79,0.0,94.75
V000077,P015,Tinta Acrilica 18L,73,GL,99.76,0.0,7282.48
V000077,P018,Disco de Corte 4.5,50,UN,8.05,32.2,370.3
V000077,P006,Tijolo Ceramico 9cm,47,UN,1.19,0.0,55.93
V000077,P010,Ferro 8mm 12m,83,BR,38.46,0.0,3192.18
V000078,P022,Tubo PVC 100mm 6m,12,BR,42.02,0.0,504.24
V000078,P017,Massa Corrida 25kg,3,BD,37.79,0.0,113.37
V000078,P013,Telha Fibrocimento 2.44m,6,UN,24.93,0.0,149.58
V000078,P007,Tijolo Ceramico 6cm,14,UN,0.99,0.0,13.86
V000078,P016,Rejunte 5kg,13,PCT,12.97,0.0,168.61
V000079,P007,Tijolo Ceramico 6cm,85,UN,1.02,2.6,84.1
V000079,P004,Areia Fina 20kg,15,SC,11.11,5.0,161.65
V000079,P002,Cimento CP-V 50kg,25,SC,37.55,0.0,938.75
V000079,P026,Disjuntor 20A,35,UN,27.47,76.92,884.53
V000079,P022,Tubo PVC 100mm 6m,28,BR,42.74,0.0,1196.72
V000079,P017,Massa Corrida 25kg,84,BD,38.54,161.87,3075.49
V000080,P024,Joelho PVC 100mm,52,UN,7.11,0.0,369.72
V000080,P014,Tinta Latex 18L,22,GL,89.71,0.0,1973.62
V000080,P030,Gesso 20kg,74,SC,18.07,133.72,1203.46
V000081,P019,Rebolo Desbaste 4.5,1,UN,10.36,0.0,10.36
V000081,P003,Areia Media 20kg,5,SC,12.1,0.0,60.5
V000082,P013,Telha Fibrocimento 2.44m,14,UN,25.24,0.0,353.36
V000082,P022,Tubo PVC 100mm 6m,10,BR,41.26,20.63,391.97
V000082,P007,Tijolo Ceramico 6cm,12,UN,1.0,0.0,12.0
V000082,P023,Tubo PVC 50mm 6m,13,BR,28.49,0.0,370.37
V000083,P024,Joelho PVC 100mm,5,UN,6.9,0.0,34.5
V000083,P030,Gesso 20kg,1,SC,18.22,0.0,18.22
V000084,P005,Brita 1 20kg,76,SC,15.04,0.0,1143.04
V000084,P022,Tubo PVC 100mm 6m,80,BR,42.02,100.85,3260.75
V000084,P029,Argamassa AC-II 20kg,75,SC,25.58,0.0,1918.5
V000084,P010,Ferro 8mm 12m,94,BR,38.48,0.0,3617.12
V000084,P027,Tomada 2P+T,55,UN,14.15,23.35,754.9
V000084,P008,Bloco de Concreto,12,UN,3.75,4.5,40.5
V000085,P021,Mangueira 1/2 50m,4,RL,64.9,0.0,259.6
V000086,P007,Tijolo Ceramico 6cm,2,UN,1.01,0.0,2.02
V000086,P028,Impermeabilizante 18L,9,GL,120.61,0.0,1085.49
V000087,P019,Rebolo Desbaste 4.5,72,UN,10.51,22.7,734.02
V000087,P024,Joelho PVC 100mm,64,UN,7.01,0.0,448.64
V000087,P020,Broca de Concreto 10mm,44,UN,13.95,0.0,613.8
V000087,P030,Gesso 20kg,70,SC,17.96,100.58,1156.62
V000087,P022,Tubo PVC 100mm 6m,65,BR,42.38,220.38,2534.32
V000087,P029,Argamassa AC-II 20kg,70,SC,26.01,91.04,1729.66
V000088,P006,Tijolo Ceramico 9cm,18,UN,1.19,0.43,20.99
V000088,P027,Tomada 2P+T,5,UN,13.79,0.0,68.95
V000088,P028,Impermeabilizante 18L,9,GL,122.37,0.0,1101.33
V000088,P029,Argamassa AC-II 20kg,13,SC,26.28,0.0,341.64
V000089,P026,Disjuntor 20A,4,UN,27.89,3.35,108.21
V000089,P017,Massa Corrida 25kg,7,BD,37.84,0.0,264.88
V000090,P027,Tomada 2P+T,17,UN,13.87,0.0,235.79
V000090,P025,Fio Eletrico 2.5mm 100m,74,RL,242.46,538.26,17403.78
V000090,P010,Ferro 8mm 12m,25,BR,38.11,0.0,952.75
V000090,P024,Joelho PVC 100mm,10,UN,7.14,0.0,71.4
V000090,P014,Tinta Latex 18L,84,GL,90.4,0.0,7593.6
V000090,P017,Massa Corrida 25kg,90,BD,38.52,0.0,3466.8
V000090,P004,Areia Fina 20kg,39,SC,11.07,34.54,397.19
V000091,P006,Tijolo Ceramico 9cm,77,UN,1.18,7.27,83.59
V000091,P014,Tinta Latex 18L,22,GL,88.24,0.0,1941.28
V000091,P001,Cimento CP-II 50kg,33,SC,34.52,34.17,1104.99
V000092,P016,Rejunte 5kg,85,PCT,12.87,0.0,1093.95
V000092,P029,Argamassa AC-II 20kg,81,SC,25.61,0.0,2074.41
V000092,P030,Gesso 20kg,82,SC,17.7,0.0,1451.4
V000092,P001,Cimento CP-II 50kg,91,SC,35.4,0.0,3221.4
V000092,P009,Ferro 10mm 12m,28,BR,55.62,77.87,1479.49
V000092,P018,Disco de Corte 4.5,78,UN,8.15,0.0,635.7
V000093,P029,Argamassa AC-II 20kg,19,SC,26.16,24.85,472.19
V000093,P023,Tubo PVC 50mm 6m,19,BR,27.94,26.54,504.32
V000093,P016,Rejunte 5kg,5,PCT,13.16,0.0,65.8
V000093,P025,Fio Eletrico 2.5mm 100m,13,RL,243.26,0.0,3162.38
V000093,P013,Telha Fibrocimento 2.44m,2,UN,25.44,1.53,49.35
V000094,P007,Tijolo Ceramico 6cm,45,UN,1.0,0.0,45.0
V000094,P027,Tomada 2P+T,80,UN,13.76,55.04,1045.76
V000094,P021,Mangueira 1/2 50m,26,RL,64.03,0.0,1664.78
V000094,P013,Telha Fibrocimento 2.44m,82,UN,25.38,0.0,2081.16
V000094,P004,Areia Fina 20kg,45,SC,11.22,15.15,489.75
V000094,P028,Impermeabilizante 18L,98,GL,120.55,0.0,11813.9
