id,data,cliente,vendedor,total,desconto,status,canal
V000050,2023-01-20 12:09:00,CLI0020,VEN01,6597.44,178.33,concluida,balcao
V000051,2023-01-20 09:36:00,CLI0052,VEN02,2779.06,0.0,concluida,balcao
V000052,2023-01-20 17:38:00,CLI0071,VEN02,2787.43,285.87,concluida,balcao
V000053,2023-01-20 10:51:00,CLI0129,VEN01,25885.61,342.95,concluida,telefone
V000054,2023-01-21 11:52:00,CLI0034,VEN04,820.75,0.0,concluida,balcao
V000055,2023-01-21 10:20:00,CLI0067,VEN03,1866.51,78.6,concluida,telefone
V000056,2023-01-21 15:10:00,CLI0069,VEN01,2084.5,0.0,concluida,balcao
V000057,2023-01-21 10:12:00,CLI0109,VEN02,3340.61,8.89,concluida,balcao
V000058,2023-01-21 11:23:00,CLI0142,VEN02,1185.59,0.0,concluida,balcao
V000059,2023-01-24 16:42:00,CLI0010,VEN04,44.74,0.0,concluida,telefone
V000060,2023-01-24 17:13:00,CLI0078,VEN01,121.4,0.0,concluida,balcao
V000061,2023-01-24 13:59:00,CLI0081,VEN01,10271.93,224.94,concluida,balcao
V000062,2023-01-24 07:17:00,CLI0085,VEN04,1220.78,0.0,concluida,balcao
V000063,2023-01-24 15:20:00,CLI0115,VEN04,4735.31,170.29,concluida,balcao
V000064,2023-01-24 09:32:00,CLI0149,VEN01,10736.4,981.34,concluida,telefone
V000065,2023-01-25 18:58:00,CLI0043,VEN03,899.44,0.0,concluida,balcao
V000066,2023-01-25 12:53:00,CLI0052,VEN04,2836.17,3.21,concluida,balcao
V000067,2023-01-25 07:30:00,CLI0084,VEN04,6674.76,297.07,concluida,telefone
V000068,2023-01-25 08:38:00,CLI0102,VEN02,499.5,0.0,concluida,balcao
V000069,2023-01-26 08:03:00,CLI0015,VEN02,2398.1,0.0,concluida,balcao
V000070,2023-01-26 12:21:00,CLI0078,VEN03,53.4,0.0,concluida,telefone
V000071,2023-01-26 15:09:00,CLI0111,VEN02,209.94,0.0,concluida,balcao
V000072,2023-01-26 13:10:00,CLI0117,VEN03,10977.51,45.09,concluida,balcao
V000073,2023-01-26 17:17:00,CLI0127,VEN04,900.26,0.0,concluida,telefone
V000074,2023-01-26 07:06:00,CLI0149,VEN01,10399.24,357.9,concluida,balcao
V000075,2023-01-27 14:46:00,CLI0052,VEN01,1374.69,0.0,concluida,telefone
V000076,2023-01-27 18:48:00,CLI0092,VEN02,6650.18,124.98,concluida,balcao
V000077,2023-01-28 18:58:00,CLI0023,VEN04,10995.64,32.2,concluida,balcao
V000078,2023-01-28 15:05:00,CLI0040,VEN02,949.66,0.0,concluida,telefone
V000079,2023-01-29 18:39:00,CLI0023,VEN02,6341.24,246.39,concluida,balcao
V000080,2023-01-31 15:47:00,CLI0067,VEN03,3546.8,133.72,concluida,telefone
V000081,2023-01-31 17:48:00,CLI0074,VEN02,70.86,0.0,concluida,telefone
V000082,2023-01-31 16:45:00,CLI0134,VEN01,1127.7,20.63,concluida,balcao
V000083,2023-02-01 11:20:00,CLI0070,VEN01,52.72,0.0,concluida,balcao
V000084,2023-02-01 09:53:00,CLI0115,VEN04,10734.81,128.7,concluida,balcao
V000085,2023-02-01 13:55:00,CLI0133,VEN04,259.6,0.0,concluida,balcao
V000086,2023-02-01 15:12:00,CLI0142,VEN01,1087.51,0.0,concluida,balcao
V000087,2023-02-02 16:58:00,CLI0016,VEN03,7217.06,434.7,concluida,telefone
V000088,2023-02-02 15:17:00,CLI0040,VEN02,1532.91,0.43,concluida,balcao
V000089,2023-02-02 07:42:00,CLI0090,VEN02,373.09,3.35,concluida,balcao
V000090,2023-02-02 18:36:00,CLI0130,VEN02,30121.31,572.8,concluida,telefone
V000091,2023-02-03 13:43:00,CLI0096,VEN02,3129.86,41.44,concluida,balcao
V000092,2023-02-03 15:28:00,CLI0115,VEN01,9956.35,77.87,concluida,balcao
V000093,2023-02-04 14:00:00,CLI0009,VEN02,4254.04,52.92,concluida,balcao
V000094,2023-02-04 17:35:00,CLI0020,VEN04,17140.35,70.19,concluida,balcao
V000095,2023-02-04 16:51:00,CLI0038,VEN03,784.28,5.31,concluida,balcao
V000096,2023-02-04 10:12:00,CLI0084,VEN02,7665.62,198.93,concluida,balcao
V000097,2023-02-04 12:00:00,CLI0100,VEN01,308.43,0.0,concluida,balcao
V000098,2023-02-06 09:18:00,CLI0081,VEN01,4575.67,107.71,concluida,telefone
V000099,2023-02-06 10:23:00,CLI0084,VEN02,4040.26,381.74,concluida,balcao
V000100,2023-02-06 18:20:00,CLI0117,VEN04,22362.02,88.78,concluida,balcao
V000101,2023-02-07 10:15:00,CLI0015,VEN01,685.6,0.0,concluida,telefone
V000102,2023-02-07 13:47:00,CLI0067,VEN02,23084.89,709.86,concluida,balcao
V000103,2023-02-07 10:16:00,CLI0110,VEN04,2568.16,0.0,concluida,telefone
V000104,2023-02-07 17:12:00,CLI0130,VEN01,7481.76,276.31,concluida,balcao
V000105,2023-02-08 08:25:00,CLI0061,VEN01,368.84,0.0,concluida,telefone
V000106,2023-02-08 18:38:00,CLI0115,VEN02,11996.27,377.69,concluida,telefone
V000107,2023-02-09 15:57:00,CLI0013,VEN03,442.36,8.99,concluida,telefone
V000108,2023-02-09 11:24:00,CLI0023,VEN02,7061.0,0.0,concluida,telefone
V000109,2023-02-09 15:43:00,CLI0120,VEN01,406.96,0.0,concluida,telefone
V000110,2023-02-09 09:34:00,CLI0149,VEN03,16551.56,626.13,concluida,balcao
V000111,2023-02-10 13:26:00,CLI0005,VEN03,2.94,0.0,concluida,balcao
V000112,2023-02-11 16:18:00,CLI0031,VEN03,115.25,0.0,concluida,balcao
V000113,2023-02-11 12:17:00,CLI0033,VEN02,1929.29,55.41,concluida,telefone
V000114,2023-02-11 14:09:00,CLI0067,VEN02,6221.38,0.0,concluida,balcao
V000115,2023-02-11 17:56:00,CLI0071,VEN01,4337.65,174.11,concluida,telefone
V000116,2023-02-11 08:36:00,CLI0099,VEN04,161.76,0.0,concluida,balcao
V000117,2023-02-12 16:32:00,CLI0023,VEN03,5528.15,72.02,concluida,balcao
V000118,2023-02-13 17:26:00,CLI0080,VEN03,716.0,15.38,concluida,balcao
V000119,2023-02-13 18:25:00,CLI0129,VEN01,6033.79,95.88,concluida,balcao
V000120,2023-02-13 09:36:00,CLI0138,VEN04,251.7,0.0,concluida,balcao
V000121,2023-02-14 10:19:00,CLI0015,VEN02,328.47,0.0,concluida,balcao
V000122,2023-02-14 10:25:00,CLI0020,VEN01,10790.97,82.6,concluida,telefone
V000123,2023-02-14 08:22:00,CLI0041,VEN03,431.54,5.54,concluida,telefone
V000124,2023-02-14 12:25:00,CLI0103,VEN01,29109.26,1666.07,concluida,balcao
V000125,2023-02-14 13:17:00,CLI0126,VEN02,414.34,2.3,concluida,balcao
V000126,2023-02-15 09:00:00,CLI0082,VEN04,248.27,0.0,concluida,telefone
V000127,2023-02-15 12:13:00,CLI0111,VEN01,6377.92,65.38,concluida,balcao
V000128,2023-02-15 09:46:00,CLI0147,VEN02,3749.8,203.62,concluida,telefone
V000129,2023-02-15 10:16:00,CLI0149,VEN02,3511.2,32.94,concluida,telefone
V000130,2023-02-16 10:57:00,CLI0034,VEN02,1914.91,8.31,concluida,balcao
V000131,2023-02-16 09:44:00,CLI0084,VEN03,19143.65,665.24,concluida,balcao
V000132,2023-02-16 16:01:00,CLI0112,VEN01,2671.12,0.0,concluida,balcao
V000133,2023-02-16 07:38:00,CLI0115,VEN03,8779.89,91.02,concluida,balcao
V000134,2023-02-16 17:22:00,CLI0130,VEN04,24829.22,77.67,concluida,telefone
V000135,2023-02-16 13:44:00,CLI0134,VEN02,377.98,0.0,concluida,telefone
V000136,2023-02-17 11:20:00,CLI0006,VEN01,13161.01,107.73,concluida,balcao
V000137,2023-02-17 13:11:00,CLI0020,VEN04,28290.74,274.95,concluida,balcao
V000138,2023-02-17 17:11:00,CLI0075,VEN02,3253.79,19.33,concluida,balcao
V000139,2023-02-17 07:18:00,CLI0096,VEN02,7148.77,31.16,concluida,balcao
V000140,2023-02-18 10:00:00,CLI0067,VEN04,11652.84,828.19,concluida,balcao
V000141,2023-02-20 09:30:00,CLI0094,VEN01,88.75,0.0,concluida,balcao
V000142,2023-02-21 18:05:00,CLI0040,VEN04,1587.91,40.63,concluida,balcao
V000143,2023-02-21 13:19:00,CLI0110,VEN01,2014.84,0.0,concluida,balcao
V000144,2023-02-21 10:54:00,CLI0136,VEN02,112.08,0.0,concluida,telefone
V000145,2023-02-22 12:46:00,CLI0081,VEN01,14211.35,0.0,concluida,telefone
V000146,2023-02-22 13:17:00,CLI0109,VEN02,1634.75,0.0,concluida,balcao
V000147,2023-02-22 14:59:00,CLI0115,VEN01,14104.44,210.1,concluida,balcao
V000148,2023-02-23 08:06:00,CLI0085,VEN02,1804.16,12.43,concluida,balcao
V000149,2023-02-23 10:37:00,CLI0111,VEN03,838.85,0.22,concluida,balcao
V000150,2023-02-24 08:46:00,CLI0020,VEN04,4905.22,257.8,concluida,balcao
V000151,2023-02-24 10:36:00,CLI0042,VEN02,3747.65,22.18,concluida,balcao
V000152,2023-02-25 10:19:00,CLI0041,VEN02,3682.04,0.0,concluida,balcao
V000153,2023-02-25 14:48:00,CLI0090,VEN01,912.74,4.22,concluida,balcao
V000154,2023-02-25 08:30:00,CLI0135,VEN04,452.15,0.0,concluida,balcao
V000155,2023-02-26 12:27:00,CLI0016,VEN01,17734.04,43.36,concluida,balcao
V000156,2023-02-26 13:42:00,CLI0147,VEN01,21907.49,358.41,concluida,balcao
V000157,2023-02-28 11:22:00,CLI0016,VEN02,20200.45,345.23,concluida,telefone
V000158,2023-02-28 08:11:00,CLI0035,VEN02,140.35,0.0,concluida,telefone
V000159,2023-02-28 18:03:00,CLI0102,VEN01,5403.54,0.0,concluida,balcao
V000160,2023-03-01 10:49:00,CLI0040,VEN02,1495.48,0.0,concluida,balcao
V000161,2023-03-01 14:04:00,CLI0042,VEN02,1346.5,0.0,concluida,balcao
V000162,2023-03-01 18:28:00,CLI0090,VEN04,2819.91,0.0,concluida,telefone
V000163,2023-03-02 13:30:00,CLI0006,VEN04,19524.33,76.63,concluida,telefone
V000164,2023-03-02 17:29:00,CLI0036,VEN01,575.07,0.0,concluida,balcao
V000165,2023-03-02 12:46:00,CLI0042,VEN03,1353.99,0.0,concluida,balcao
V000166,2023-03-02 11:46:00,CLI0080,VEN01,1213.92,0.0,concluida,telefone
V000167,2023-03-02 18:48:00,CLI0082,VEN01,127.67,0.0,concluida,balcao
V000168,2023-03-02 12:28:00,CLI0109,VEN03,1105.74,0.0,concluida,telefone
V000169,2023-03-02 09:31:00,CLI0142,VEN01,1889.49,0.0,concluida,balcao
V000170,2023-03-03 10:31:00,CLI0016,VEN04,19078.19,0.0,concluida,balcao
V000171,2023-03-03 07:19:00,CLI0036,VEN03,1391.99,0.0,concluida,balcao
V000172,2023-03-03 12:35:00,CLI0038,VEN04,4441.52,0.0,concluida,balcao
V000173,2023-03-03 18:15:00,CLI0042,VEN01,1572.8,73.67,concluida,balcao
V000174,2023-03-03 13:13:00,CLI0080,VEN02,198.72,3.18,concluida,balcao
V000175,2023-03-03 07:41:00,CLI0092,VEN02,13557.4,176.05,concluida,balcao
V000176,2023-03-03 18:35:00,CLI0129,VEN03,8184.94,130.04,concluida,balcao
V000177,2023-03-03 17:02:00,CLI0130,VEN04,9162.84,40.48,concluida,telefone
V000178,2023-03-04 15:34:00,CLI0006,VEN01,27627.57,1876.74,concluida,balcao
V000179,2023-03-04 13:19:00,CLI0031,VEN02,68.55,0.0,concluida,balcao
V000180,2023-03-04 07:44:00,CLI0034,VEN03,216.08,0.15,concluida,balcao
V000181,2023-03-04 16:36:00,CLI0102,VEN01,994.94,0.12,concluida,telefone
V000182,2023-03-04 10:55:00,CLI0115,VEN04,7210.01,282.38,concluida,balcao
V000183,2023-03-04 07:26:00,CLI0142,VEN01,3254.93,0.0,concluida,balcao
V000184,2023-03-05 17:31:00,CLI0134,VEN04,1063.4,10.38,concluida,balcao
V000185,2023-03-06 11:09:00,CLI0016,VEN04,6019.87,36.88,concluida,balcao
V000186,2023-03-06 12:46:00,CLI0033,VEN02,2424.3,0.0,concluida,balcao
V000187,2023-03-06 11:23:00,CLI0129,VEN01,5726.21,69.25,concluida,balcao
V000188,2023-03-07 15:23:00,CLI0043,VEN04,1032.78,34.01,concluida,telefone
V000189,2023-03-07 11:15:00,CLI0057,VEN02,169.7,0.0,concluida,balcao
V000190,2023-03-07 07:37:00,CLI0064,VEN01,1026.51,2.57,concluida,balcao
V000191,2023-03-07 17:20:00,CLI0071,VEN02,13950.56,202.02,concluida,balcao
V000192,2023-03-07 11:33:00,CLI0129,VEN04,7428.19,231.06,concluida,balcao
V000193,2023-03-08 07:15:00,CLI0043,VEN01,2361.49,0.0,concluida,balcao
V000194,2023-03-08 08:38:00,CLI0097,VEN01,313.37,0.0,concluida,balcao
V000195,2023-03-08 08:33:00,CLI0109,VEN03,577.9,0.0,concluida,balcao
V000196,2023-03-08 12:25:00,CLI0129,VEN01,6251.54,394.47,concluida,balcao
V000197,2023-03-09 18:04:00,CLI0020,VEN04,1436.09,75.59,concluida,balcao
V000198,2023-03-09 15:43:00,CLI0023,VEN03,2464.6,28.56,concluida,telefone
V000199,2023-03-09 15:18:00,CLI0035,VEN02,28.28,0.0,concluida,telefone
V000200,2023-03-09 17:25:00,CLI0084,VEN03,22939.21,2401.16,concluida,balcao
V000201,2023-03-09 09:18:00,CLI0142,VEN04,3804.39,92.32,concluida,balcao
V000202,2023-03-10 18:52:00,CLI0007,VEN02,268.83,0.36,concluida,balcao
V000203,2023-03-10 14:50:00,CLI0081,VEN03,7611.58,18.39,concluida,balcao
V000204,2023-03-10 15:14:00,CLI0105,VEN03,3169.61,3.47,concluida,balcao
V000205,2023-03-10 07:49:00,CLI0111,VEN02,609.86,0.0,concluida,balcao
V000206,2023-03-10 09:33:00,CLI0115,VEN03,5205.79,297.61,concluida,telefone
V000207,2023-03-10 18:01:00,CLI0117,VEN01,13608.88,247.66,concluida,telefone
V000208,2023-03-11 07:56:00,CLI0041,VEN02,632.52,0.0,concluida,telefone
V000209,2023-03-11 12:47:00,CLI0090,VEN02,620.62,0.0,concluida,balcao
V000210,2023-03-11 08:51:00,CLI0112,VEN03,3597.09,12.41,concluida,balcao
V000211,2023-03-12 10:00:00,CLI0038,VEN04,1161.39,13.94,concluida,telefone
V000212,2023-03-12 08:05:00,CLI0061,VEN02,219.96,0.0,concluida,balcao
V000213,2023-03-13 14:42:00,CLI0006,VEN02,4724.66,206.36,concluida,balcao
V000214,2023-03-13 15:09:00,CLI0034,VEN01,939.17,0.0,concluida,balcao
V000215,2023-03-13 07:10:00,CLI0042,VEN02,1699.2,14.49,concluida,balcao
V000216,2023-03-13 15:36:00,CLI0067,VEN02,9046.84,167.7,concluida,telefone
V000217,2023-03-13 16:18:00,CLI0079,VEN02,3385.25,6.89,concluida,balcao
V000218,2023-03-13 12:12:00,CLI0129,VEN01,3411.9,140.82,concluida,balcao
V000219,2023-03-13 12:35:00,CLI0149,VEN04,8148.17,212.66,concluida,telefone
V000220,2023-03-14 13:35:00,CLI0047,VEN02,76.4,0.0,concluida,balcao
V000221,2023-03-14 09:24:00,CLI0081,VEN02,9047.12,86.36,concluida,balcao
V000222,2023-03-15 18:55:00,CLI0006,VEN01,1610.54,51.94,concluida,balcao
V000223,2023-03-15 16:07:00,CLI0062,VEN02,5.0,0.0,concluida,telefone
V000224,2023-03-15 14:41:00,CLI0067,VEN03,23232.67,563.05,concluida,balcao
V000225,2023-03-15 16:12:00,CLI0071,VEN03,3588.52,25.17,concluida,balcao
V000226,2023-03-15 08:56:00,CLI0084,VEN02,2507.12,42.49,concluida,balcao
V000227,2023-03-15 16:43:00,CLI0111,VEN03,1263.98,0.0,concluida,balcao
V000228,2023-03-15 13:17:00,CLI0120,VEN01,699.72,2.83,concluida,telefone
V000229,2023-03-15 17:51:00,CLI0129,VEN02,19842.25,164.38,concluida,telefone
V000230,2023-03-15 12:15:00,CLI0147,VEN01,14519.17,37.09,concluida,balcao
V000231,2023-03-15 12:27:00,CLI0149,VEN02,11713.58,213.43,concluida,balcao
V000232,2023-03-16 17:01:00,CLI0015,VEN03,2039.67,4.23,concluida,balcao
V000233,2023-03-16 12:33:00,CLI0020,VEN02,7621.23,207.84,concluida,telefone
V000234,2023-03-16 17:42:00,CLI0026,VEN01,194.18,0.0,concluida,balcao
V000235,2023-03-16 10:30:00,CLI0092,VEN04,5553.26,76.2,concluida,balcao
V000236,2023-03-16 18:00:00,CLI0110,VEN04,3026.92,0.0,concluida,telefone
V000237,2023-03-16 15:24:00,CLI0117,VEN03,9108.08,0.0,concluida,balcao
V000238,2023-03-16 12:27:00,CLI0147,VEN03,8313.54,338.98,concluida,telefone
V000239,2023-03-17 11:41:00,CLI0115,VEN02,16805.24,0.0,concluida,telefone
V000240,2023-03-17 10:52:00,CLI0149,VEN03,2486.9,59.54,concluida,balcao
V000241,2023-03-18 17:30:00,CLI0067,VEN04,2475.82,5.88,concluida,balcao
V000242,2023-03-18 12:19:00,CLI0108,VEN01,1309.34,0.0,concluida,balcao
V000243,2023-03-18 16:17:00,CLI0113,VEN04,126.6,0.0,concluida,balcao
V000244,2023-03-18 14:54:00,CLI0115,VEN01,14828.23,58.07,concluida,telefone
V000245,2023-03-18 18:05:00,CLI0117,VEN02,26802.28,1623.23,concluida,telefone
V000246,2023-03-19 07:05:00,CLI0026,VEN01,1373.89,14.49,concluida,balcao
V000247,2023-03-20 17:08:00,CLI0007,VEN02,1730.88,0.0,concluida,telefone
V000248,2023-03-20 17:43:00,CLI0013,VEN03,984.43,0.0,concluida,telefone
V000249,2023-03-20 17:39:00,CLI0016,VEN02,21736.88,0.0,concluida,balcao
V000250,2023-03-20 15:39:00,CLI0021,VEN03,51.86,0.0,concluida,balcao
V000251,2023-03-20 16:44:00,CLI0043,VEN03,1144.82,0.0,concluida,balcao
V000252,2023-03-20 08:05:00,CLI0071,VEN04,9898.58,152.21,concluida,telefone
V000253,2023-03-20 10:53:00,CLI0075,VEN02,4610.89,0.0,concluida,telefone
V000254,2023-03-20 10:45:00,CLI0088,VEN01,85.14,0.0,concluida,balcao
V000255,2023-03-20 12:35:00,CLI0101,VEN01,491.68,0.0,concluida,balcao
V000256,2023-03-20 11:05:00,CLI0117,VEN03,4887.44,185.58,concluida,balcao
V000257,2023-03-20 09:32:00,CLI0130,VEN01,10974.2,185.33,concluida,telefone
V000258,2023-03-20 10:07:00,CLI0147,VEN01,6631.14,130.0,concluida,balcao
V000259,2023-03-21 12:23:00,CLI0009,VEN01,636.45,4.25,concluida,balcao
V000260,2023-03-21 09:56:00,CLI0046,VEN03,1165.66,0.0,concluida,balcao
V000261,2023-03-21 18:36:00,CLI0052,VEN03,748.11,19.42,concluida,telefone
V000262,2023-03-21 08:58:00,CLI0127,VEN03,553.62,3.51,concluida,balcao
V000263,2023-03-22 16:44:00,CLI0023,VEN01,6912.64,160.96,concluida,balcao
V000264,2023-03-22 15:22:00,CLI0059,VEN01,187.9,0.0,concluida,telefone
V000265,2023-03-22 17:27:00,CLI0073,VEN03,543.97,0.0,concluida,balcao
V000266,2023-03-22 10:37:00,CLI0129,VEN03,32958.53,2923.65,concluida,telefone
V000267,2023-03-22 09:19:00,CLI0134,VEN01,1454.98,76.14,concluida,balcao
V000268,2023-03-22 08:09:00,CLI0149,VEN01,49333.89,979.89,concluida,balcao
V000269,2023-03-23 16:28:00,CLI0012,VEN03,176.02,0.0,concluida,balcao
V000270,2023-03-23 16:44:00,CLI0020,VEN04,1531.55,0.0,concluida,balcao
V000271,2023-03-23 13:43:00,CLI0025,VEN02,5.9,0.0,concluida,telefone
V000272,2023-03-23 14:48:00,CLI0083,VEN01,74.84,0.0,concluida,telefone
V000273,2023-03-23 12:37:00,CLI0096,VEN03,4419.33,180.04,concluida,telefone
V000274,2023-03-23 14:56:00,CLI0127,VEN03,793.27,8.83,concluida,balcao
V000275,2023-03-23 09:39:00,CLI0130,VEN02,2369.06,90.51,concluida,balcao
V000276,2023-03-23 16:51:00,CLI0147,VEN01,11472.79,75.86,concluida,balcao
V000277,2023-03-24 11:58:00,CLI0023,VEN02,18375.07,86.3,concluida,balcao
V000278,2023-03-24 07:44:00,CLI0069,VEN02,416.3,0.0,concluida,balcao
V000279,2023-03-24 16:47:00,CLI0081,VEN03,20285.75,209.95,concluida,telefone
V000280,2023-03-24 09:53:00,CLI0129,VEN01,12108.96,582.45,concluida,balcao
V000281,2023-03-25 12:35:00,CLI0040,VEN02,779.32,0.29,concluida,telefone
V000282,2023-03-25 17:34:00,CLI0078,VEN02,223.39,0.0,concluida,balcao
V000283,2023-03-25 18:52:00,CLI0092,VEN04,12197.2,143.37,concluida,telefone
V000284,2023-03-25 11:25:00,CLI0124,VEN03,487.6,0.0,concluida,balcao
V000285,2023-03-25 16:57:00,CLI0142,VEN01,1326.99,19.99,concluida,balcao
V000286,2023-03-25 16:22:00,CLI0149,VEN02,14777.0,205.39,concluida,balcao
V000287,2023-03-26 15:46:00,CLI0084,VEN02,11219.74,0.0,concluida,balcao
V000288,2023-03-28 13:02:00,CLI0007,VEN01,1143.42,9.79,concluida,balcao
V000289,2023-03-28 11:16:00,CLI0068,VEN01,37.81,0.0,concluida,telefone
V000290,2023-03-28 10:59:00,CLI0081,VEN01,3167.61,116.06,concluida,telefone
V000291,2023-03-28 12:07:00,CLI0091,VEN02,1587.56,0.0,concluida,balcao
V000292,2023-03-28 16:32:00,CLI0098,VEN01,2501.85,0.0,concluida,telefone
V000293,2023-03-28 13:01:00,CLI0108,VEN02,516.12,0.0,concluida,balcao
V000294,2023-03-28 16:46:00,CLI0130,VEN04,18178.82,0.0,concluida,balcao
V000295,2023-03-28 07:06:00,CLI0147,VEN04,13533.04,171.24,concluida,balcao
V000296,2023-03-29 16:07:00,CLI0081,VEN01,14328.13,163.71,concluida,telefone
V000297,2023-03-29 13:15:00,CLI0112,VEN03,278.77,4.83,concluida,telefone
V000298,2023-03-29 18:40:00,CLI0116,VEN02,63.14,0.0,concluida,balcao
V000299,2023-03-29 08:23:00,CLI0147,VEN02,3820.61,84.19,concluida,balcao
V000300,2023-03-30 13:09:00,CLI0015,VEN01,390.81,0.0,concluida,balcao
V000301,2023-03-30 08:40:00,CLI0029,VEN02,396.87,2.66,concluida,balcao
V000302,2023-03-30 13:04:00,CLI0040,VEN03,635.52,1.23,concluida,balcao
V000303,2023-03-30 13:34:00,CLI0068,VEN02,586.35,0.0,concluida,balcao
V000304,2023-03-30 08:21:00,CLI0102,VEN04,1023.58,0.0,concluida,balcao
V000305,2023-03-30 17:37:00,CLI0108,VEN03,4051.17,16.32,concluida,balcao
V000306,2023-03-30 10:31:00,CLI0117,VEN02,1193.47,100.77,concluida,balcao
V000307,2023-03-30 16:41:00,CLI0134,VEN03,1652.13,0.0,concluida,telefone
V000308,2023-03-31 15:07:00,CLI0001,VEN04,657.04,0.0,concluida,balcao
V000309,2023-03-31 15:02:00,CLI0013,VEN01,542.08,0.0,concluida,balcao
V000310,2023-03-31 17:33:00,CLI0051,VEN03,3.87,0.0,concluida,balcao
V000311,2023-03-31 10:14:00,CLI0067,VEN03,3649.09,0.0,concluida,balcao
V000312,2023-03-31 16:50:00,CLI0070,VEN04,97.32,0.0,concluida,balcao
